newid,lact_num,calv_date,alp_date,avg_milk,avg_thi3,avg_csi3,avg_thi30,avg_csi30,avg_precspring
313923,2,2011-01-17,2011-05-23,18.79,58.02,1012.49,55.02,1029.64,73.30
178430,1,2004-02-22,2004-06-10,21.21,47.80,1101.99,49.84,1090.70,117.63
58854,2,2002-01-27,2002-06-21,10.64,50.52,1132.08,53.84,1058.09,131.08
301919,4,2013-12-02,2014-05-23,22.33,62.43,1086.79,58.14,1082.67,239.35
419099,2,2015-02-02,2015-06-25,13.10,50.47,1095.56,47.80,1122.96,64.64
416458,1,2014-12-26,2015-06-09,18.37,66.35,940.04,65.45,969.30,166.00
393608,1,2012-02-07,2012-06-10,16.58,55.55,1045.04,52.70,1090.11,134.45
13651,8,2000-10-27,2001-06-23,15.17,64.68,1001.76,63.21,1022.45,166.15
150655,1,2002-01-27,2002-07-13,20.67,56.50,1064.61,54.33,1095.92,167.05
194828,1,2005-11-30,2006-06-11,10.50,64.18,951.14,61.10,1026.57,138.52
259098,2,2007-12-22,2008-06-16,13.40,58.14,1027.48,61.93,993.31,140.97
347124,1,2012-09-08,2013-06-13,12.93,67.96,906.80,64.18,982.41,154.08
148108,1,2005-02-08,2005-07-03,19.95,57.08,1039.05,54.14,1043.30,102.70
55657,3,2000-11-15,2001-06-05,13.63,61.47,1027.05,63.01,975.81,168.67
240422,8,2009-11-20,2010-06-23,18.40,55.91,1101.84,60.67,1045.88,197.86
205699,3,2004-12-13,2005-06-28,21.30,69.75,925.32,66.87,957.16,176.33
140548,2,2006-01-05,2006-06-20,25.76,47.67,1127.51,49.02,1105.08,115.48
115317,2,2004-12-27,2005-06-16,18.17,59.89,1052.20,61.07,1056.80,102.50
270109,2,2010-09-13,2011-05-21,13.80,64.93,935.11,59.20,1032.28,172.91
300970,4,2013-10-09,2014-06-03,18.33,59.53,1115.64,60.32,1043.82,205.53
259429,1,2009-01-21,2009-06-16,11.04,52.53,1093.35,53.24,1075.66,105.47
393866,2,2014-02-05,2014-06-28,18.86,52.62,1046.67,52.40,1063.71,78.34
117317,2,2002-11-11,2003-06-07,15.07,68.99,945.94,65.48,981.61,148.47
363889,2,2012-12-15,2013-06-12,15.83,62.32,953.92,62.23,978.37,179.13
